"PROVRE","EDAD_r","DEPRE","ndef"
2,22,14,1.07477531397871
2,22,3,1.07477531397871
2,22,6,1.07477531397871
2,22,2,3.22432594193613
2,23,3,2.24980591594827
2,23,5,1.12552686421816
2,23,4,4.50176269797297
2,23,6,1.12490295797414
2,23,8,4.49961183189654
2,23,7,5.62451478987068
2,23,14,2.24980591594827
2,23,11,1.12490295797414
2,23,13,2.24980591594827
2,23,10,1.12490295797414
2,23,15,1.12490295797414
2,23,1,7.87819395751881
2,23,9,2.25093989070429
2,24,11,1.16396593362364
2,24,14,2.32793186724729
2,24,6,2.32793186724729
2,24,7,1.16396593362364
2,24,13,1.16396593362364
2,24,1,3.49361540923339
2,24,10,1.16396593362364
2,24,8,3.49189780087093
2,24,4,4.65808929077302
2,24,12,1.16396593362364
2,24,9,2.32910522000296
2,24,15,4.65586373449458
2,25,14,3.24093996700709
2,25,11,1.0803133223357
2,25,10,1.0803133223357
2,25,7,1.0803133223357
2,25,1,2.16168942216509
2,25,8,3.24093996700709
2,25,3,4.32125328934279
2,25,6,2.1606266446714
2,25,13,2.1606266446714
2,25,5,1.08091249777792
2,25,9,1.08085783509897
2,25,4,2.16165944899485
2,25,15,2.1606266446714
2,25,12,1.0803133223357
2,26,4,4.20521507510892
2,26,10,4.20320589447102
2,26,11,1.05080147361776
2,26,9,2.10266222291456
2,26,2,3.15240442085327
2,26,1,4.20527338384361
2,26,3,3.15240442085327
2,26,14,2.10160294723551
2,26,7,6.30480884170654
2,26,13,4.20320589447102
2,26,15,1.05080147361776
2,26,8,5.25400736808878
2,26,6,1.05080147361776
2,26,5,2.10276856173758
2,27,3,2.28541395873255
2,27,4,8.00277244488302
2,27,1,4.57307623419774
2,27,10,5.71353489683137
2,27,11,2.28541395873255
2,27,6,1.14270697936627
2,27,14,2.28541395873255
2,27,8,6.85624187619765
2,27,7,4.5708279174651
2,27,5,2.28668152055104
2,27,12,1.14270697936627
2,28,5,1.07370089220676
2,28,12,2.14621142865719
2,28,11,3.21931714298578
2,28,8,4.29242285731438
2,28,3,7.51174000030016
2,28,7,8.58484571462875
2,28,4,6.44171202702604
2,28,9,2.14729318844986
2,28,14,2.14621142865719
2,28,15,1.07310571432859
2,28,1,3.22090067330697
2,28,6,2.14621142865719
2,28,2,2.14621142865719
2,29,15,2.19450960729144
2,29,9,3.29342356638622
2,29,6,3.29176441093716
2,29,13,1.09725480364572
2,29,8,5.4862740182286
2,29,5,2.1957267507231
2,29,3,2.19450960729144
2,29,11,2.19450960729144
2,29,4,2.19555860805974
2,29,14,2.19450960729144
2,29,1,3.29338357690417
2,29,7,5.4862740182286
2,30,6,3.32653790631455
2,30,7,3.32653790631455
2,30,12,1.10884596877152
2,30,2,3.32653790631455
2,30,14,3.32653790631455
2,30,3,3.32653790631455
2,30,5,1.10946096930883
2,30,9,3.328214588727
2,30,1,7.76573974587744
2,30,4,3.32812802959672
2,30,8,7.76192178140061
2,30,13,1.10884596877152
2,31,1,1.1841853168797
2,31,4,7.10501338447629
2,31,15,5.91801560770999
2,31,9,1.184199695696
2,31,3,2.36720624308399
2,31,11,2.36720624308399
2,31,10,1.183603121542
2,31,8,2.36720624308399
2,31,13,2.36720624308399
2,31,12,1.183603121542
2,31,14,4.73441248616799
2,31,2,2.36720624308399
2,31,7,5.91801560770999
2,31,6,5.91801560770999
2,32,6,1.14015774257036
2,32,3,6.84094645542217
2,32,13,1.14015774257036
2,32,10,3.42047322771109
2,32,4,11.4070275105151
2,32,8,5.70078871285181
2,32,12,1.14015774257036
2,32,9,5.7036620942595
2,32,1,3.42215570347484
2,32,15,2.28031548514072
2,32,7,1.14015774257036
2,32,14,3.42047322771109
2,32,5,2.28158021918684
2,32,2,1.14015774257036
2,33,2,1.18593553503513
2,33,12,1.18593553503513
2,33,7,1.18593553503513
2,33,1,3.55955663294853
2,33,14,1.18593553503513
2,33,13,3.55780660510538
2,33,10,3.55780660510538
2,33,8,2.37187107007026
2,33,4,5.93251212913127
2,33,11,2.37187107007026
2,33,3,3.55780660510538
2,33,6,2.37187107007026
2,33,15,2.37187107007026
2,33,9,2.37306656960154
2,33,5,2.37318658369758
2,34,7,1.25460314620479
2,34,14,2.50920629240958
2,34,4,5.02081144360732
2,34,11,3.76380943861438
2,34,10,3.76380943861438
2,34,8,2.50920629240958
2,34,9,2.5104710133231
2,34,13,2.50920629240958
2,34,2,1.25460314620479
2,34,15,1.25460314620479
2,34,1,1.25522026531262
2,34,3,2.50920629240958
2,35,13,1.1667787820895
2,35,6,2.33355756417901
2,35,12,2.33355756417901
2,35,2,2.33355756417901
2,35,15,1.1667787820895
2,35,9,1.1673668762337
2,35,4,8.17135561013065
2,35,5,1.16742591397086
2,35,14,3.50033634626851
2,35,7,1.1667787820895
2,35,8,5.83389391044752
2,35,10,4.66711512835801
2,35,11,4.66711512835801
2,35,3,4.66711512835801
2,35,1,5.83676350902619
2,36,3,4.38609100453994
2,36,2,4.38609100453994
2,36,1,5.48531056519568
2,36,15,4.38609100453994
2,36,8,4.38609100453994
2,36,12,3.28956825340496
2,36,9,2.19415086794652
2,36,10,2.19304550226997
2,36,7,4.38609100453994
2,36,4,6.58228140953784
2,36,11,2.19304550226997
2,36,14,2.19304550226997
2,36,5,1.09713091683168
2,37,2,2.6322578619923
2,37,4,6.5837902786208
2,37,5,2.63371779425076
2,37,6,2.6322578619923
2,37,14,2.6322578619923
2,37,10,1.31612893099615
2,37,9,3.95037690729943
2,37,15,7.8967735859769
2,37,7,5.2645157239846
2,37,12,2.6322578619923
2,37,13,1.31612893099615
2,37,11,1.31612893099615
2,37,3,3.94838679298845
2,37,8,5.2645157239846
2,37,1,9.21743419553527
2,38,15,4.36475279413284
2,38,9,4.36695277033956
2,38,3,1.09118819853321
2,38,6,6.54712919119926
2,38,10,5.45594099266605
2,38,4,4.36683919604208
2,38,2,2.18237639706642
2,38,14,3.27356459559963
2,38,11,4.36475279413284
2,38,7,6.54712919119926
2,38,1,2.18344987291348
2,38,12,1.09118819853321
2,38,8,9.82069378679889
2,38,13,6.54712919119926
2,39,13,6.95698184527205
2,39,3,1.15949697421201
2,39,11,1.15949697421201
2,39,14,1.15949697421201
2,39,5,2.32028013475148
2,39,12,6.95698184527205
2,39,2,1.15949697421201
2,39,8,8.11647881948405
2,39,7,4.63798789684803
2,39,4,3.48015368120325
2,39,1,3.48020193637072
2,39,10,1.15949697421201
2,39,9,4.64032559236056
2,39,15,3.47849092263602
2,39,6,2.31899394842402
2,40,7,4.51488148494709
2,40,9,2.25857856542842
2,40,14,2.25744074247355
2,40,6,1.12872037123677
2,40,2,2.25744074247355
2,40,1,9.03420456505892
2,40,15,4.51488148494709
2,40,5,2.25869278947436
2,40,4,13.5511189502786
2,40,8,6.77232222742064
2,40,13,2.25744074247355
2,40,11,1.12872037123677
2,40,10,9.02976296989419
2,40,3,6.77232222742064
2,40,12,4.51488148494709
2,41,4,6.65153370982377
