"PROV","DEPRE","EDAD","N"
6,28,73,6831.08245765072
6,28,74,6639.39361089307
6,28,75,6293.8761521029
6,28,76,5887.98179424202
6,28,77,5579.60927569443
6,28,78,5309.11714101233
6,28,79,5121.54879345707
6,28,80,4670.75207631732
6,28,81,4166.60043552022
6,28,82,3575.61607436761
6,28,83,3161.6318366546
6,28,84,2837.48254120983
6,28,85,2493.72813220064
6,28,86,2150.8300616565
6,28,87,1752.36066201605
6,28,88,1433.89342415112
6,28,89,1180.95119071734
6,28,90,942.999917706935
6,28,91,730.819395209278
6,28,92,525.368685589851
6,28,93,380.254576760439
6,28,94,292.676338211835
6,28,95,226.264771605095
6,28,96,179.347498290836
6,28,97,134.283945889145
6,28,98,87.6487605398425
6,28,99,40.8221583571772
6,35,0,15282.9210714463
6,35,1,15081.8931983179
6,35,2,14728.8735624509
6,35,3,14692.0662104547
6,35,4,14771.8558320518
6,35,5,15000.1259887299
6,35,6,15026.1171451834
6,35,7,14870.2105654012
6,35,8,14719.3488529432
6,35,9,14715.6358305927
6,35,10,14746.5104186158
6,35,11,14718.5820331099
6,35,12,14575.9535441246
6,35,13,14734.8466853626
6,35,14,14896.766746995
6,35,15,14987.4532820119
6,35,16,14870.4123600942
6,35,17,15069.5433631087
6,35,18,15525.3168566318
6,35,19,15848.0672885545
6,35,20,15886.9329464189
6,35,21,15706.4477730341
6,35,22,15685.0171766416
6,35,23,15711.4119224809
6,35,24,15710.2818722004
6,35,25,15472.7695185846
6,35,26,15369.5313536654
6,35,27,15576.0480424423
6,35,28,15843.264574862
6,35,29,16283.7420306586
6,35,30,16433.7562054063
6,35,31,16626.7930086933
6,35,32,16448.8100895012
6,35,33,16074.5616519346
6,35,34,15734.174363847
6,35,35,15062.0366005305
6,35,36,14525.3030761913
6,35,37,14050.0765742667
6,35,38,13909.7081858426
6,35,39,13922.1790978677
6,35,40,13433.5534283305
6,35,41,12955.1385702571
6,35,42,12293.2116184045
6,35,43,12047.3449645001
6,35,44,11984.2235845417
6,35,45,11903.5460662957
6,35,46,11938.6179839324
6,35,47,11889.6222324813
6,35,48,11953.0664839484
6,35,49,12091.2554896885
6,35,50,11921.5057939692
6,35,51,11873.31722129
6,35,52,11682.3790828098
6,35,53,11780.6430085474
6,35,54,11676.3454214902
6,35,55,11465.5002365493
6,35,56,11284.1069870461
6,35,57,11071.0723296866
6,35,58,11003.1986847089
6,35,59,10969.1054713331
6,35,60,10607.9434196051
6,35,61,10256.2556287116
6,35,62,9723.71943398594
6,35,63,9538.66361080551
6,35,64,9335.63797021685
6,35,65,9111.67613023343
6,35,66,8752.4008588846
6,35,67,8167.05499301091
6,35,68,7735.01255538014
6,35,69,7580.88176889608
6,35,70,7402.33382456366
6,35,71,7131.87848732188
6,35,72,6704.37643028274
6,35,73,6464.96720655311
6,35,74,6379.12374416725
6,35,75,6144.98136192391
6,35,76,5915.49034735334
6,35,77,5750.76533948879
6,35,78,5618.16604674373
6,35,79,5520.00301835256
6,35,80,5183.04624004529
6,35,81,4808.9188792945
6,35,82,4332.24954531527
6,35,83,3917.12759268933
6,35,84,3503.76125389215
6,35,85,3082.70653729314
6,35,86,2669.60253159681
6,35,87,2231.41544556536
6,35,88,1821.99419301558
6,35,89,1474.77615457121
6,35,90,1126.88210390543
6,35,91,828.286496730157
6,35,92,602.801106814872
6,35,93,470.887916025879
6,35,94,355.905299976363
6,35,95,268.275954557791
6,35,96,191.049125561389
6,35,97,129.612731289232
6,35,98,72.6359997315256
6,35,99,29.7041788039466
6,42,0,1006.16362295324
6,42,1,1020.72290898363
6,42,2,1021.20687417023
6,42,3,1023.78802183213
6,42,4,1024.95760436643
6,42,5,1035.84682106505
6,42,6,1042.13836849093
6,42,7,1002.17091016374
6,42,8,992.249623838324
6,42,9,962.68741702316
6,42,10,990.959050007376
6,42,11,1001.04165806166
6,42,12,1030.92650833456
6,42,13,1065.32836701578
6,42,14,1081.01690514825
6,42,15,1066.37695825343
6,42,16,1028.95031715592
6,42,17,1007.4945272164
6,42,18,1006.12329252102
6,42,19,981.199085410827
6,42,20,910.05620297979
6,42,21,846.253459212273
6,42,22,847.624693907656
6,42,23,854.843841274524
6,42,24,872.790883611152
6,42,25,823.668417170674
6,42,26,811.569287505532
6,42,27,803.704853223189
6,42,28,814.674730786252
6,42,29,826.491547425874
6,42,30,821.934208585337
6,42,31,804.793774893052
6,42,32,791.444401829178
6,42,33,766.883168608939
6,42,34,748.81513497566
6,42,35,762.567812361705
6,42,36,786.443428234253
6,42,37,785.959463047647
6,42,38,742.523587549786
6,42,39,708.04106800413
6,42,40,713.163032895707
6,42,41,710.339902640507
6,42,42,685.294704233663
6,42,43,673.518218026258
6,42,44,701.749520578256
6,42,45,733.368579436495
6,42,46,742.200944092049
6,42,47,712.27576338693
6,42,48,687.795191031125
6,42,49,676.502670010326
6,42,50,653.87729753651
6,42,51,628.186812214191
6,42,52,616.974952057826
6,42,53,622.046503909131
6,42,54,621.391134385603
6,42,55,610.259935093672
6,42,56,614.343391355657
6,42,57,633.984311845405
6,42,58,617.448834636377
6,42,59,603.585248561735
6,42,60,583.893915031716
6,42,61,597.888575011064
6,42,62,603.99863549196
6,42,63,600.167244431332
6,42,64,589.560340758224
6,42,65,564.283242366131
6,42,66,537.362678861189
6,42,67,512.781280424841
6,42,68,495.459359787579
6,42,69,478.359256527511
6,42,70,449.785145301667
6,42,71,418.881951615282
6,42,72,410.140330432217
6,42,73,397.184179082461
6,42,74,394.683692284998
6,42,75,373.903437085116
6,42,76,355.351438265231
